Percentil;Ano;"anninc_992_i_BR
renda nacional
População total | renda média ou riqueza | adultos | Individual | Local constante | ppp | constante (2021)
Brasil";"sptinc_z_BR
Renda nacional antes de impostos
10% superiores | participação
Brasil";"anweal_992_i_BR
Riqueza nacional com valor de mercado
População total | renda média ou riqueza | adultos | Individual | Local constante | ppp | constante (2021)
Brasil";"shweal_z_BR
Riqueza pessoal líquida
10% superiores | participação | adultos | divisão igual
Brasil";"splin_992_f_BR
Renda do trabalho antes dos impostos [classificação da renda do trabalho antes dos impostos]
P0-100 | participação | adultos | população feminina
Brasil"
mortalha;1950;15482.3;;;;
mortalha;1951;15786.0;;;;
mortalha;1952;16287.9;;;;
mortalha;1953;16613.9;;;;
mortalha;1954;17258.3;;;;
mortalha;1955;18036.6;;;;
mortalha;1956;17732.8;;;;
mortalha;1957;18702.1;;;;
mortalha;1958;19845.2;;;;
mortalha;1959;20911.0;;;;
mortalha;1960;22042.9;;;;
mortalha;1961;23762.8;;;;
mortalha;1962;24375.5;;;;
mortalha;1963;23897.3;;;;
mortalha;1964;24088.6;;;;
mortalha;1965;24123.6;;;;
mortalha;1966;24456.3;;;;
mortalha;1967;24893.7;;;;
mortalha;1968;26998.2;;;;
mortalha;1969;28719.1;;;;
mortalha;1970;30203.1;;;;
mortalha;1971;32560.4;;;;
mortalha;1972;35349.4;;;;
mortalha;1973;39124.7;;;;
mortalha;1974;41252.0;;;;
mortalha;1975;41036.1;;;;
mortalha;1976;43683.1;;;;
mortalha;1977;44061.1;;;;
mortalha;1978;43881.6;;;;
mortalha;1979;45318.5;;;;
mortalha;1980;47830.6;;;;
mortalha;1981;43586.7;;;;
mortalha;1982;41901.0;;;;
mortalha;1983;38550.1;;;;
mortalha;1984;39402.1;;;;
mortalha;1985;41774.9;;;;
mortalha;1986;44633.8;;;;
mortalha;1987;45389.3;;;;
mortalha;1988;43839.8;;;;
mortalha;1989;44726.9;;;;
mortalha;1990;42258.3;;;;
mortalha;1991;41989.9;;;;
mortalha;1992;40821.8;;;;
mortalha;1993;41605.3;;;;
mortalha;1994;43302.8;;;;
mortalha;1995;44237.4;;134928.4;;
mortalha;1996;44015.8;;136697.6;;
mortalha;1997;44218.5;;139555.9;;
mortalha;1998;43051.6;;137854.4;;
mortalha;1999;41675.2;;135193.9;;
mortalha;2000;42704.7;;138406.9;;
mortalha;2001;42115.8;;139952.9;;
mortalha;2002;42264.3;;137039.6;;
mortalha;2003;41519.8;;134477.8;;
mortalha;2004;43096.4;;141604.4;;
mortalha;2005;43401.3;;143557.8;;
mortalha;2006;44118.0;;146612.7;;
mortalha;2007;45980.5;;157925.2;;
mortalha;2008;47468.2;;167089.7;;
mortalha;2009;46304.8;;175729.5;;
mortalha;2010;48681.7;;190343.9;;
mortalha;2011;49930.9;;201957.1;;
mortalha;2012;50280.2;;208856.7;;
mortalha;2013;51569.4;;215243.1;;
mortalha;2014;50602.1;;215652.0;;
mortalha;2015;47803.9;;204852.7;;
mortalha;2016;45406.6;;190333.4;;
mortalha;2017;45524.8;;184251.6;;
mortalha;2018;45111.9;;178268.1;;
mortalha;2019;44929.3;;180137.6;;
mortalha;2020;42282.0;;171538.7;;
mortalha;2021;43676.2;;;;
p90p100;1950;;;;;
p90p100;1951;;;;;
p90p100;1952;;;;;
p90p100;1953;;;;;
p90p100;1954;;;;;
p90p100;1955;;;;;
p90p100;1956;;;;;
p90p100;1957;;;;;
p90p100;1958;;;;;
p90p100;1959;;;;;
p90p100;1960;;;;;
p90p100;1961;;;;;
p90p100;1962;;;;;
p90p100;1963;;;;;
p90p100;1964;;;;;
p90p100;1965;;;;;
p90p100;1966;;;;;
p90p100;1967;;;;;
p90p100;1968;;;;;
p90p100;1969;;;;;
p90p100;1970;;;;;
p90p100;1971;;;;;
p90p100;1972;;;;;
p90p100;1973;;;;;
p90p100;1974;;;;;
p90p100;1975;;;;;
p90p100;1976;;;;;
p90p100;1977;;;;;
p90p100;1978;;;;;
p90p100;1979;;;;;
p90p100;1980;;0.5684;;;
p90p100;1981;;0.5684;;;
p90p100;1982;;0.5684;;;
p90p100;1983;;0.5684;;;
p90p100;1984;;0.5684;;;
p90p100;1985;;0.5684;;;
p90p100;1986;;0.5684;;;
p90p100;1987;;0.5684;;;
p90p100;1988;;0.5684;;;
p90p100;1989;;0.5684;;;
p90p100;1990;;0.5684;;;
p90p100;1991;;0.5684;;;
p90p100;1992;;0.5684;;;
p90p100;1993;;0.5684;;;
p90p100;1994;;0.5684;;;
p90p100;1995;;0.5684;;0.7369;
p90p100;1996;;0.5684;;0.7376;
p90p100;1997;;0.5684;;0.7355;
p90p100;1998;;0.5684;;0.7362;
p90p100;1999;;0.5684;;0.7356;
p90p100;2000;;0.5654;;0.7373;
p90p100;2001;;0.5654;;0.7358;
p90p100;2002;;0.5425;;0.7221;
p90p100;2003;;0.568;;0.7393;
p90p100;2004;;0.5642;;0.7625;
p90p100;2005;;0.5637;;0.7765;
p90p100;2006;;0.5676;;0.7535;
p90p100;2007;;0.5326;;0.7416;
p90p100;2008;;0.5819;;0.7589;
p90p100;2009;;0.5885;;0.7843;
p90p100;2010;;0.5946;;0.7737;
p90p100;2011;;0.6007;;0.7831;
p90p100;2012;;0.5886;;0.7866;
p90p100;2013;;0.5838;;0.7547;
p90p100;2014;;0.5882;;0.7745;
p90p100;2015;;0.5939;;0.7621;
p90p100;2016;;0.5968;;0.7474;
p90p100;2017;;0.5989;;0.7708;
p90p100;2018;;0.5782;;0.7967;
p90p100;2019;;0.5856;;0.7966;
p90p100;2020;;0.5856;;0.7929;
p90p100;2021;;0.5856;;0.7981;
p0p100;1950;;;;;
p0p100;1951;;;;;
p0p100;1952;;;;;
p0p100;1953;;;;;
p0p100;1954;;;;;
p0p100;1955;;;;;
p0p100;1956;;;;;
p0p100;1957;;;;;
p0p100;1958;;;;;
p0p100;1959;;;;;
p0p100;1960;;;;;
p0p100;1961;;;;;
p0p100;1962;;;;;
p0p100;1963;;;;;
p0p100;1964;;;;;
p0p100;1965;;;;;
p0p100;1966;;;;;
p0p100;1967;;;;;
p0p100;1968;;;;;
p0p100;1969;;;;;
p0p100;1970;;;;;
p0p100;1971;;;;;
p0p100;1972;;;;;
p0p100;1973;;;;;
p0p100;1974;;;;;
p0p100;1975;;;;;
p0p100;1976;;;;;
p0p100;1977;;;;;
p0p100;1978;;;;;
p0p100;1979;;;;;
p0p100;1980;;;;;
p0p100;1981;;;;;
p0p100;1982;;;;;
p0p100;1983;;;;;
p0p100;1984;;;;;
p0p100;1985;;;;;
p0p100;1986;;;;;
p0p100;1987;;;;;
p0p100;1988;;;;;
p0p100;1989;;;;;
p0p100;1990;;;;;
p0p100;1991;;;;;0.278484891154
p0p100;1992;;;;;0.286770390296
p0p100;1993;;;;;0.294797412554
p0p100;1994;;;;;0.300510920589
p0p100;1995;;;;;0.306411482002
p0p100;1996;;;;;0.30783485249
p0p100;1997;;;;;0.309845597514
p0p100;1998;;;;;0.313829785756
p0p100;1999;;;;;0.320692888497
p0p100;2000;;;;;0.322760846815
p0p100;2001;;;;;0.326077011836
p0p100;2002;;;;;0.330062833106
p0p100;2003;;;;;0.33299586674
p0p100;2004;;;;;0.334928369649
p0p100;2005;;;;;0.335879995471
p0p100;2006;;;;;0.338796705008
p0p100;2007;;;;;0.34079982837
p0p100;2008;;;;;0.342802951733
p0p100;2009;;;;;0.344806075096
p0p100;2010;;;;;0.348799437284
p0p100;2011;;;;;0.352792799473
p0p100;2012;;;;;0.355436041951
p0p100;2013;;;;;0.35807928443
p0p100;2014;;;;;0.365073194106
p0p100;2015;;;;;0.372067103783
p0p100;2016;;;;;0.37906101346
p0p100;2017;;;;;0.382069881294
p0p100;2018;;;;;0.383420999533
p0p100;2019;;;;;0.384662192598
p0p100;2020;;;;;
p0p100;2021;;;;;
